194, 4, 'F20', 'B';
204, 4, 'F20', 'B';
221, 4, 'F20', 'B';
227, 2, 'F51', '';
227, 3, 'F61', '';
233, 2, 'F51', '';
233, 3, 'F61', '';
239, 2, 'F51', '';
239, 3, 'F61', '';
244, 2, 'F51', '';
244, 1, 'F65', '';
250, 1, 'F67', '';
259, 4, 'F60', '';
259, 3, 'F31', '';
199, 4, 'F20', 'B';
16, 1, 'F1', '';
82, 1, 'F1', '';
1, 1, 'F1', '';
397, 2, 'S7', '';
225, 4, 'TM', '';
215, 2, 'S1', '';
214, 1, 'PS', '';
237, 4, 'TM', '';
203, 4, 'TM', '';
231, 5, 'EX', '';
198, 2, 'S1', '';
193, 1, 'PS', '';
14, 3, 'S66', '';
347, 3, 'TM', '';
237, 1, 'PS', '';
176, 3, 'HD', '';
175, 2, 'S7', '';
184, 2, 'S7', '';
259, 2, 'F51', '';
259, 1, 'F66', '';
7, 2, 'TM', '';
88, 3, 'S79', '';
88, 2, 'TM', '';
45, 3, 'S80', 'A';
45, 2, 'TM', '';
53, 2, 'TM', '';
36, 2, 'TM', '';
122, 3, 'S78', 'A';
128, 3, 'S78', 'A';
128, 2, 'TM', '';
114, 2, 'TM', '';
66, 2, 'TM', '';
28, 2, 'TM', '';
104, 2, 'TM', '';
60, 3, 'S80', 'B';
22, 2, 'TM', '';
279, 1, 'F33', '';
6, 2, 'S12', 'B';
284, 5, 'UNK', '';
282, 2, 'S51', '';
281, 1, 'UNK', '';
280, 2, 'TM', '';
541, 8, 'HD', '';
13, 1, 'TM', '';
35, 2, 'TM', '';
35, 1, 'DISS1', '';
216, 2, 'TM', '';
216, 1, 'EX', '';
243, 1, 'PS', '';
258, 1, 'PS', '';
258, 2, 'S84', '';
334, 1, 'S21', '';
277, 3, 'F88', '';
276, 4, 'S52', '';
275, 1, 'F33', '';
273, 2, 'F82', '';
272, 4, 'F173', '';
44, 2, 'S9', '';
44, 1, 'TM', '';
52, 2, 'S9', '';
80, 2, 'TM', '';
80, 1, 'EX', '';
95, 2, 'TM', '';
73, 2, 'TM', '';
73, 1, 'EX', '';
157, 2, 'S2', '';
157, 1, 'TM', '';
146, 2, 'S2', '';
146, 1, 'TM', '';
168, 2, 'S2', '';
168, 1, 'TM', '';
156, 2, 'S10', '';
156, 1, 'TM', '';
145, 2, 'S10', '';
145, 1, 'TM', '';
167, 2, 'S10', '';
175, 3, 'HD', '';
184, 3, 'HD', '';
12, 1, 'PS', '';
127, 1, 'PS', '';
158, 4, 'S13', '';
79, 2, 'S12', 'B';
87, 4, 'S32', '';
29, 5, 'F21', '';
113, 2, 'S12', 'B';
59, 1, 'PS', '';
121, 4, 'S31', '';
147, 1, 'PS', '';
94, 4, 'S30', '';
43, 4, 'S40', '';
51, 4, 'S40', '';
65, 4, 'S35', '';
6, 3, 'TM', '';
72, 2, 'S12', 'B';
169, 2, 'S12', 'A';
103, 2, 'S12', 'B';
27, 4, 'S37', '';
